!
!Date: 04/23/2019
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene	Gene Systematic Name	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
RPA43	YOR340C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPA190	YOR341W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RRP12	YPL012W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NOP4	YPL043W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPS9A	YPL081W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPS6A	YPL090C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NOG1	YPL093W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NAN1	YPL126W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NOP53	YPL146C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RTC6	YPL183W-A	ribosome biogenesis	GO:0042254		biological process	IBA with PTN000428162	computational	GO_Central	2018-10-04		Gaudet P, et al. (2011) PMID:21873635
RTC6	YPL183W-A	ribosome biogenesis	GO:0042254		biological process	IBA with RTC6	computational	GO_Central	2018-10-04		Gaudet P, et al. (2011) PMID:21873635
RSA1	YPL193W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NIP7	YPL211W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
BMS1	YPL217C	ribosome biogenesis	GO:0042254		biological process	IEA with IPR012948	computational	InterPro	2019-04-20		DDB, et al. (2001)
BMS1	YPL217C	ribosome biogenesis	GO:0042254		biological process	IEA with IPR039761	computational	InterPro	2019-04-20		DDB, et al. (2001)
BMS1	YPL217C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
DIM1	YPL266W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPA135	YPR010C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
TIF6	YPR016C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPC40	YPR110C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RRP9	YPR137W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RRP15	YPR143W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
NOC4	YPR144C	ribosome biogenesis	GO:0042254		biological process	IEA with IPR027193	computational	InterPro	2019-04-20		DDB, et al. (2001)
NOC4	YPR144C	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
RPO26	YPR187W	ribosome biogenesis	GO:0042254		biological process	IEA with KW-0690	computational	UniProt	2019-04-20		UniProt-GOA (2011)
